All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : MH232.fasta
SeqY filename        : MH7448.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|72080342|ref|NC_007332.1|
SeqX length          : 892758
SeqY length          : 920079
Min.fragment.length  : 100
Min.Identity         : 65
Tot Hits (seeds)     : 16744
Tot Hits (seeds) used: 2256
Total fragments      : 505
========================================================
Total frags      : 403
x========================================================
Type,xStart,yStart,xEnd,yEnd,strand,block,length,score,ident,similarity,porc_ident,SeqX,SeqY,gene,locus_tag,product
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,8024,0,9025,f,1,1001,0,0,0,0,0,0,ftsY,MHP7448_0008,cell division protein ftsY
GY,0,9192,0,11216,f,1,2024,0,0,0,0,0,0,-,MHP7448_0009,hypothetical protein
Frag,11007,11218,14736,14947,f,1,3730,97.75,3688.00,98.87,97.75,14584,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,11091,0,12098,0,f,1,1007,0,0,0,0,0,0,hrcA,mhp010,heat-inducible transcription repressor
GX,12101,0,12847,0,f,1,746,0,0,0,0,0,0,grpE,mhp011,heat shock protein
GX,12831,0,14435,0,f,1,1604,0,0,0,0,0,0,argS,mhp012,arginyl-tRNA synthetase
GX,14407,0,14685,0,f,1,278,0,0,0,0,0,0,-,mhp013,hypothetical protein
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,9192,0,11216,f,1,2024,0,0,0,0,0,0,-,MHP7448_0009,hypothetical protein
GY,0,11302,0,12309,f,1,1007,0,0,0,0,0,0,hrcA,MHP7448_0010,heat-inducible transcription repressor
GY,0,12306,0,13058,f,1,752,0,0,0,0,0,0,grpE,MHP7448_0011,heat shock protein
GY,0,13042,0,14646,f,1,1604,0,0,0,0,0,0,argS,MHP7448_0012,arginyl-tRNA synthetase
GY,0,14651,0,14896,f,1,245,0,0,0,0,0,0,-,MHP7448_0013,hypothetical protein
Frag,17669,17062,17901,17294,f,1,233,85.41,216.00,92.70,85.41,796,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,17729,0,18595,0,f,1,866,0,0,0,0,0,0,-,mhp017,hypothetical protein
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,17360,0,18163,f,1,803,0,0,0,0,0,0,-,MHP7448_0017,hypothetical protein
Frag,18480,17288,22461,21269,f,-2,3982,98.49,3952.00,99.25,98.49,15688,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,17729,0,18595,0,f,-2,866,0,0,0,0,0,0,-,mhp017,hypothetical protein
GX,18552,0,19355,0,f,-2,803,0,0,0,0,0,0,-,mhp018,hypothetical protein
GX,19034,0,19285,0,r,-2,251,0,0,0,0,0,0,-,mhp019,hypothetical protein
GX,19664,0,19897,0,r,-2,233,0,0,0,0,0,0,-,mhp020,hypothetical protein
GX,20052,0,22328,0,r,-2,2276,0,0,0,0,0,0,-,mhp021,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,18472,0,18714,r,-2,242,0,0,0,0,0,0,-,MHP7448_0018,hypothetical protein
GY,0,18860,0,21136,r,-2,2276,0,0,0,0,0,0,-,MHP7448_0019,ABC transporter ATP-binding protein
GY,0,21337,0,23577,r,-2,2240,0,0,0,0,0,0,-,MHP7448_0020,ABC transporter ATP-binding protein
Frag,19610,25529,19866,25785,f,-2,257,78.21,229.00,89.11,78.21,804,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,19664,0,19897,0,r,-2,233,0,0,0,0,0,0,-,mhp020,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,18860,0,21136,r,-2,2276,0,0,0,0,0,0,-,MHP7448_0019,ABC transporter ATP-binding protein
Frag,21631,25281,22330,25980,f,-2,700,65.43,579.00,82.71,65.43,1832,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,20052,0,22328,0,r,-2,2276,0,0,0,0,0,0,-,mhp021,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,21337,0,23577,r,-2,2240,0,0,0,0,0,0,-,MHP7448_0020,ABC transporter ATP-binding protein
Frag,21693,22942,22333,23582,f,-2,641,74.10,558.00,87.05,74.10,1900,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,20052,0,22328,0,r,-2,2276,0,0,0,0,0,0,-,mhp021,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,21337,0,23577,r,-2,2240,0,0,0,0,0,0,-,MHP7448_0020,ABC transporter ATP-binding protein
Frag,22428,21244,23122,21938,f,1,695,97.12,685.00,98.56,97.12,2700,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,1,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,21337,0,23577,r,1,2240,0,0,0,0,0,0,-,MHP7448_0020,ABC transporter ATP-binding protein
Frag,23123,21936,28069,26882,f,-2,4947,96.40,4858.00,98.20,96.40,19076,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GX,27152,0,27973,0,r,-2,821,0,0,0,0,0,0,-,mhp024,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,21337,0,23577,r,-2,2240,0,0,0,0,0,0,-,MHP7448_0020,ABC transporter ATP-binding protein
GY,0,23651,0,25978,r,-2,2327,0,0,0,0,0,0,-,MHP7448_0021,ABC transporter ATP-binding protein
GY,0,25965,0,26642,r,-2,677,0,0,0,0,0,0,-,MHP7448_0022,hypothetical protein
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
Frag,23235,19598,23418,19781,f,-2,184,68.48,155.00,84.24,68.48,504,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,21337,0,23577,r,-2,2240,0,0,0,0,0,0,-,MHP7448_0020,ABC transporter ATP-binding protein
Frag,24121,31036,24766,31681,f,-2,646,69.04,546.00,84.52,69.04,1784,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,23651,0,25978,r,-2,2327,0,0,0,0,0,0,-,MHP7448_0021,ABC transporter ATP-binding protein
Frag,26468,20439,27167,21138,f,-2,700,66.00,581.00,83.00,66.00,1848,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GX,27152,0,27973,0,r,-2,821,0,0,0,0,0,0,-,mhp024,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,25965,0,26642,r,-2,677,0,0,0,0,0,0,-,MHP7448_0022,hypothetical protein
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
Frag,26530,22942,27167,23579,f,-2,638,67.08,533.00,83.54,67.08,1712,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GX,27152,0,27973,0,r,-2,821,0,0,0,0,0,0,-,mhp024,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,25965,0,26642,r,-2,677,0,0,0,0,0,0,-,MHP7448_0022,hypothetical protein
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
Frag,26716,18418,26972,18674,f,-2,257,77.43,228.00,88.72,77.43,796,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
Frag,28034,372601,28167,372734,f,-2,134,65.67,111.00,82.84,65.67,352,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
Frag,28050,26865,28151,26966,f,-2,102,86.27,95.00,93.14,86.27,352,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
Frag,28050,546950,28157,546843,r,-2,108,77.78,96.00,88.89,77.78,336,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,539538,0,551447,0,r,-2,11909,0,0,0,0,0,0,-,mhp447,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
Frag,28146,26962,44242,43058,f,-2,16097,69.75,13662.00,84.87,69.75,44908,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GX,30536,0,32863,0,r,-2,2327,0,0,0,0,0,0,-,mhp026,ABC transporter ATP-binding protein
GX,32850,0,33653,0,r,-2,803,0,0,0,0,0,0,-,mhp027,hypothetical protein
GX,34028,0,34510,0,f,-2,482,0,0,0,0,0,0,-,mhp028,signal peptidase I
GX,34903,0,36222,0,f,-2,1319,0,0,0,0,0,0,gatA,mhp029,amidase
GX,36215,0,37615,0,f,-2,1400,0,0,0,0,0,0,gatB,mhp030,aspartyl/glutamyl-tRNA amidotransferase subunit B
GX,37851,0,38354,0,f,-2,503,0,0,0,0,0,0,-,mhp031,hypothetical protein
GX,38471,0,39070,0,r,-2,599,0,0,0,0,0,0,lspA,mhp032,lipoprotein signal peptidase
GX,39042,0,41702,0,r,-2,2660,0,0,0,0,0,0,ileS,mhp033,isoleucyl-tRNA synthetase
GX,41702,0,44242,0,r,-2,2540,0,0,0,0,0,0,parC,mhp034,DNA topoisomerase IV subunit A
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,26944,0,29241,r,-2,2297,0,0,0,0,0,0,-,MHP7448_0023,ABC transporter ATP-binding protein
GY,0,29352,0,31679,r,-2,2327,0,0,0,0,0,0,-,MHP7448_0024,ABC transporter ATP-binding protein
GY,0,31666,0,32493,r,-2,827,0,0,0,0,0,0,-,MHP7448_0025,hypothetical protein
GY,0,32885,0,33325,f,-2,440,0,0,0,0,0,0,sipS,MHP7448_0026,signal peptidase I
GY,0,33393,0,33725,f,-2,332,0,0,0,0,0,0,gatC,MHP7448_0027,Asp-tRNAAsn/Glu-tRNAGln amidotransferase C subunit
GY,0,33715,0,35037,f,-2,1322,0,0,0,0,0,0,gatA,MHP7448_0028,amidase
GY,0,35030,0,36430,f,-2,1400,0,0,0,0,0,0,gatB,MHP7448_0029,aspartyl/glutamyl-tRNA amidotransferase subunit B
GY,0,36661,0,37170,f,-2,509,0,0,0,0,0,0,-,MHP7448_0030,hypothetical protein
GY,0,37287,0,37814,r,-2,527,0,0,0,0,0,0,lsp,MHP7448_0031,lipoprotein signal peptidase
GY,0,37858,0,40521,r,-2,2663,0,0,0,0,0,0,ileS,MHP7448_0032,isoleucyl-tRNA synthetase
GY,0,40518,0,43058,r,-2,2540,0,0,0,0,0,0,parC,MHP7448_0033,DNA topoisomerase IV subunit A
GY,0,43051,0,44979,r,-2,1928,0,0,0,0,0,0,parE,MHP7448_0034,topoisomerase IV subunit B
Frag,29780,31034,30430,31684,f,-2,651,76.65,575.00,88.33,76.65,1996,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,29352,0,31679,r,-2,2327,0,0,0,0,0,0,-,MHP7448_0024,ABC transporter ATP-binding protein
Frag,32218,28596,32868,29246,f,-2,651,77.57,578.00,88.79,77.57,2020,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,30536,0,32863,0,r,-2,2327,0,0,0,0,0,0,-,mhp026,ABC transporter ATP-binding protein
GX,32850,0,33653,0,r,-2,803,0,0,0,0,0,0,-,mhp027,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,31666,0,32493,r,-2,827,0,0,0,0,0,0,-,MHP7448_0025,hypothetical protein
Frag,33768,32583,37823,36638,f,-2,4056,98.37,4023.00,99.19,98.37,15960,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,34028,0,34510,0,f,-2,482,0,0,0,0,0,0,-,mhp028,signal peptidase I
GX,34903,0,36222,0,f,-2,1319,0,0,0,0,0,0,gatA,mhp029,amidase
GX,36215,0,37615,0,f,-2,1400,0,0,0,0,0,0,gatB,mhp030,aspartyl/glutamyl-tRNA amidotransferase subunit B
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,33715,0,35037,f,-2,1322,0,0,0,0,0,0,gatA,MHP7448_0028,amidase
GY,0,35030,0,36430,f,-2,1400,0,0,0,0,0,0,gatB,MHP7448_0029,aspartyl/glutamyl-tRNA amidotransferase subunit B
GY,0,36661,0,37170,f,-2,509,0,0,0,0,0,0,-,MHP7448_0030,hypothetical protein
GY,0,37287,0,37814,r,-2,527,0,0,0,0,0,0,lsp,MHP7448_0031,lipoprotein signal peptidase
Frag,44243,43062,46315,45134,f,1,2073,97.78,2050.00,98.89,97.78,8108,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,44235,0,46160,0,r,1,1925,0,0,0,0,0,0,parE,mhp035,topoisomerase IV subunit B
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,43051,0,44979,r,1,1928,0,0,0,0,0,0,parE,MHP7448_0034,topoisomerase IV subunit B
GY,0,45190,0,46200,f,1,1010,0,0,0,0,0,0,gap,MHP7448_0035,glyceraldehyde 3-phosphate dehydrogenase
Frag,46190,45010,47773,46593,f,1,1584,91.54,1517.00,95.77,91.54,5800,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,46370,0,47380,0,f,1,1010,0,0,0,0,0,0,gap,mhp036,glyceraldehyde 3-phosphate dehydrogenase
GX,47479,0,49491,0,f,1,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,1,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,1,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47772,46589,47978,46795,f,-2,207,98.07,205.00,99.03,98.07,812,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47788,46713,47888,46813,f,-2,101,100.00,101.00,100.00,100.00,404,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47788,46695,47906,46813,f,-2,119,100.00,119.00,100.00,100.00,476,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47788,46677,47924,46813,f,-2,137,100.00,137.00,100.00,100.00,548,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47788,46659,47942,46813,f,-2,155,100.00,155.00,100.00,100.00,620,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47788,46641,47960,46813,f,-2,173,100.00,173.00,100.00,100.00,692,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47788,46623,49573,48408,f,-2,1786,95.86,1749.00,97.93,95.86,6848,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
GY,0,48426,0,50504,r,-2,2078,0,0,0,0,0,0,vacB,MHP7448_0037,VACB-like ribonuclease II
Frag,47806,46605,47978,46777,f,-2,173,100.00,173.00,100.00,100.00,692,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47824,46605,47978,46759,f,-2,155,100.00,155.00,100.00,100.00,620,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47842,46605,47978,46741,f,-2,137,100.00,137.00,100.00,100.00,548,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47860,46605,47978,46723,f,-2,119,100.00,119.00,100.00,100.00,476,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,47878,46605,47978,46705,f,-2,101,100.00,101.00,100.00,100.00,404,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,-2,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,920079,f,-2,920078,0,0,0,0,0,0,-,-,-
GY,0,46329,0,48326,f,-2,1997,0,0,0,0,0,0,-,MHP7448_0036,hypothetical protein
Frag,49523,48357,70969,69803,f,-288,21447,74.18,18678.00,87.09,74.18,63636,-,-
GX,1,0,892758,0,f,-288,892757,0,0,0,0,0,0,-,-,-
GX,49592,0,51676,0,r,-288,2084,0,0,0,0,0,0,-,mhp038,VACB-like ribonuclease II
GX,51682,0,51915,0,r,-288,233,0,0,0,0,0,0,-,mhp039,hypothetical protein
GX,51969,0,53495,0,r,-288,1526,0,0,0,0,0,0,cls,mhp040,cardiolipin synthetase
GX,53512,0,54525,0,r,-288,1013,0,0,0,0,0,0,recA,mhp041,recombinase A
GX,54678,0,55487,0,f,-288,809,0,0,0,0,0,0,licA,mhp042,PTS system lichenan-specific transporter subunit IIA
GX,55489,0,56748,0,f,-288,1259,0,0,0,0,0,0,obgE,mhp043,GTPase ObgE
GX,56833,0,57204,0,f,-288,371,0,0,0,0,0,0,-,mhp044,hypothetical protein
GX,57208,0,58416,0,f,-288,1208,0,0,0,0,0,0,-,mhp045,hypothetical protein
GX,58511,0,58843,0,f,-288,332,0,0,0,0,0,0,-,mhp046,hypothetical protein
GX,58888,0,60045,0,f,-288,1157,0,0,0,0,0,0,-,mhp047,DNA polymerase IV
GX,60050,0,60481,0,f,-288,431,0,0,0,0,0,0,-,mhp048,hypothetical protein
GX,60481,0,61209,0,f,-288,728,0,0,0,0,0,0,atpB,mhp049,F0F1 ATP synthase subunit A
GX,61237,0,61542,0,f,-288,305,0,0,0,0,0,0,atpE,mhp050,F0F1 ATP synthase subunit C
GX,61596,0,62162,0,f,-288,566,0,0,0,0,0,0,atpF,mhp051,ATP synthase subunit B
GX,62162,0,62725,0,f,-288,563,0,0,0,0,0,0,atpH,mhp052,F0F1 ATP synthase subunit delta
GX,62743,0,64266,0,f,-288,1523,0,0,0,0,0,0,atpA,mhp053,F0F1 ATP synthase subunit alpha
GX,64295,0,65125,0,f,-288,830,0,0,0,0,0,0,atpG,mhp054,ATP synthase subunit gamma
GX,65143,0,66558,0,f,-288,1415,0,0,0,0,0,0,atpD,mhp055,F0F1 ATP synthase subunit beta
GX,66905,0,67399,0,f,-288,494,0,0,0,0,0,0,recU,mhp057,Holliday junction-specific endonuclease
GX,67615,0,68571,0,f,-288,956,0,0,0,0,0,0,rpsB,mhp058,30S ribosomal protein S2
GX,68596,0,69507,0,f,-288,911,0,0,0,0,0,0,tsf,mhp059,elongation factor Ts
