All by-Identity Ungapped Fragments (Hits based approach)
[Abr.98/Apr.2010/Dec.2011 -- <ortrelles@uma.es>
SeqX filename        : MH232.fasta
SeqY filename        : MH7422.fasta
SeqX name            : gi|54019969|ref|NC_006360.1|
SeqY name            : gi|525903163|ref|NC_021831.1|
SeqX length          : 892758
SeqY length          : 898495
Min.fragment.length  : 100
Min.Identity         : 65
Tot Hits (seeds)     : 15310
Tot Hits (seeds) used: 1994
Total fragments      : 442
========================================================
Total frags      : 353
x========================================================
Type,xStart,yStart,xEnd,yEnd,strand,block,length,score,ident,similarity,porc_ident,SeqX,SeqY,gene,locus_tag,product
GY,0,2983,0,4842,f,1,1859,0,0,0,0,0,0,gidA,MHL_2981,glucose inhibited division protein A
GY,0,5254,0,6297,f,1,1043,0,0,0,0,0,0,-,MHL_2961,putative MgpA-like protein
GY,0,6290,0,7261,f,1,971,0,0,0,0,0,0,-,MHL_2952,DHH family phosphoesterase
Frag,7088,7297,8933,9142,f,1,1846,97.07,1819.00,98.54,97.07,7168,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,7156,0,7725,0,f,1,569,0,0,0,0,0,0,-,mhp007,hypothetical protein
GX,7815,0,8816,0,f,1,1001,0,0,0,0,0,0,ftsY,mhp008,cell division protein ftsY
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,6290,0,7261,f,1,971,0,0,0,0,0,0,-,MHL_2952,DHH family phosphoesterase
GY,0,7365,0,7934,f,1,569,0,0,0,0,0,0,-,MHL_2671,hypothetical protein
GY,0,8024,0,9025,f,1,1001,0,0,0,0,0,0,ftsY,MHL_3345,cell division protein ftsY
Frag,8885,9113,14700,14928,f,1,5816,97.56,5745.00,98.78,97.56,22696,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,8985,0,11006,0,f,1,2021,0,0,0,0,0,0,-,mhp009,hypothetical protein
GX,11091,0,12098,0,f,1,1007,0,0,0,0,0,0,hrcA,mhp010,heat-inducible transcription repressor
GX,12101,0,12847,0,f,1,746,0,0,0,0,0,0,grpE,mhp011,heat shock protein
GX,12831,0,14435,0,f,1,1604,0,0,0,0,0,0,argS,mhp012,arginyl-tRNA synthetase
GX,14407,0,14685,0,f,1,278,0,0,0,0,0,0,-,mhp013,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,8024,0,9025,f,1,1001,0,0,0,0,0,0,ftsY,MHL_3345,cell division protein ftsY
GY,0,9213,0,11234,f,1,2021,0,0,0,0,0,0,-,MHL_3030,hypothetical protein
GY,0,11319,0,12326,f,1,1007,0,0,0,0,0,0,hrcA,MHL_3011,heat-inducible transcription repressor
GY,0,12329,0,13075,f,1,746,0,0,0,0,0,0,grpE,MHL_0068,heat shock protein
GY,0,13059,0,14663,f,1,1604,0,0,0,0,0,0,argS,MHL_0071,arginyl-tRNA synthetase
GY,0,14668,0,14913,f,1,245,0,0,0,0,0,0,-,MHL_2707,hypothetical protein
Frag,14689,14913,16832,17056,f,1,2144,97.57,2118.00,98.79,97.57,8368,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,14755,0,15618,0,f,1,863,0,0,0,0,0,0,fba,mhp014,fructose-bisphosphate aldolase
GX,15625,0,16470,0,f,1,845,0,0,0,0,0,0,rluC,mhp015,ribosomal large subunit pseudouridine synthase C
GX,16504,0,17586,0,r,1,1082,0,0,0,0,0,0,-,mhp016,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,14668,0,14913,f,1,245,0,0,0,0,0,0,-,MHL_2707,hypothetical protein
GY,0,14979,0,15842,f,1,863,0,0,0,0,0,0,-,MHL_0073,fructose-bisphosphate aldolase
GY,0,15849,0,16694,f,1,845,0,0,0,0,0,0,rluC,MHL_2974,ribosomal large subunit pseudouridine synthase C
GY,0,16728,0,16997,r,1,269,0,0,0,0,0,0,-,MHL_2838,hypothetical protein
Frag,17666,17081,17901,17316,f,1,236,85.59,219.00,92.80,85.59,808,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,17729,0,18595,0,f,1,866,0,0,0,0,0,0,-,mhp017,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,17382,0,17849,f,1,467,0,0,0,0,0,0,-,MHL_2685,hypothetical protein
GY,0,17884,0,18186,f,1,302,0,0,0,0,0,0,-,MHL_2683,hypothetical protein
Frag,18480,17310,19011,17841,f,1,532,98.50,528.00,99.25,98.50,2096,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,17729,0,18595,0,f,1,866,0,0,0,0,0,0,-,mhp017,hypothetical protein
GX,18552,0,19355,0,f,1,803,0,0,0,0,0,0,-,mhp018,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,18495,0,18728,r,1,233,0,0,0,0,0,0,-,MHL_2643,hypothetical protein
GY,0,18883,0,20598,r,1,1715,0,0,0,0,0,0,-,MHL_2919,ABC transporter ATP-binding protein
Frag,18996,17827,22461,21292,f,-2,3466,98.33,3437.00,99.16,98.33,13632,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,18552,0,19355,0,f,-2,803,0,0,0,0,0,0,-,mhp018,hypothetical protein
GX,19034,0,19285,0,r,-2,251,0,0,0,0,0,0,-,mhp019,hypothetical protein
GX,19664,0,19897,0,r,-2,233,0,0,0,0,0,0,-,mhp020,hypothetical protein
GX,20052,0,22328,0,r,-2,2276,0,0,0,0,0,0,-,mhp021,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,18883,0,20598,r,-2,1715,0,0,0,0,0,0,-,MHL_2919,ABC transporter ATP-binding protein
GY,0,21360,0,23063,r,-2,1703,0,0,0,0,0,0,-,MHL_2938,ABC transporter ATP-binding protein
Frag,19610,25551,19866,25807,f,-2,257,78.21,229.00,89.11,78.21,804,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,19664,0,19897,0,r,-2,233,0,0,0,0,0,0,-,mhp020,hypothetical protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,18883,0,20598,r,-2,1715,0,0,0,0,0,0,-,MHL_2919,ABC transporter ATP-binding protein
Frag,21631,25303,22330,26002,f,-2,700,65.71,580.00,82.86,65.71,1840,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,20052,0,22328,0,r,-2,2276,0,0,0,0,0,0,-,mhp021,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,21360,0,23063,r,-2,1703,0,0,0,0,0,0,-,MHL_2938,ABC transporter ATP-binding protein
Frag,21693,22965,22149,23421,f,-2,457,82.06,416.00,91.03,82.06,1500,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,20052,0,22328,0,r,-2,2276,0,0,0,0,0,0,-,mhp021,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,21360,0,23063,r,-2,1703,0,0,0,0,0,0,-,MHL_2938,ABC transporter ATP-binding protein
Frag,22428,21267,23122,21961,f,1,695,97.12,685.00,98.56,97.12,2700,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,1,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,21360,0,23063,r,1,1703,0,0,0,0,0,0,-,MHL_2938,ABC transporter ATP-binding protein
GY,0,23071,0,23418,f,1,347,0,0,0,0,0,0,-,MHL_3562,hypothetical protein
Frag,23123,21959,24585,23421,f,-2,1463,90.02,1390.00,95.01,90.02,5268,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,23071,0,23418,f,-2,347,0,0,0,0,0,0,-,MHL_3562,hypothetical protein
GY,0,23673,0,26000,r,-2,2327,0,0,0,0,0,0,-,MHL_3267,ABC transporter ATP-binding protein
Frag,23235,19621,23418,19804,f,-2,184,68.48,155.00,84.24,68.48,504,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,23071,0,23418,f,-2,347,0,0,0,0,0,0,-,MHL_3562,hypothetical protein
Frag,24121,31058,24766,31703,f,-2,646,69.04,546.00,84.52,69.04,1784,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,23673,0,26000,r,-2,2327,0,0,0,0,0,0,-,MHL_3267,ABC transporter ATP-binding protein
Frag,24553,23388,28069,26904,f,-2,3517,98.41,3489.00,99.20,98.41,13844,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,22521,0,24764,0,r,-2,2243,0,0,0,0,0,0,-,mhp022,ABC transporter ATP-binding protein
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GX,27152,0,27973,0,r,-2,821,0,0,0,0,0,0,-,mhp024,hypothetical protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,23673,0,26000,r,-2,2327,0,0,0,0,0,0,-,MHL_3267,ABC transporter ATP-binding protein
GY,0,25987,0,26808,r,-2,821,0,0,0,0,0,0,-,MHL_2644,hypothetical protein
GY,0,26966,0,28726,r,-2,1760,0,0,0,0,0,0,-,MHL_2918,ABC transporter ATP-binding protein
Frag,26468,20462,27167,21161,f,-2,700,66.00,581.00,83.00,66.00,1848,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GX,27152,0,27973,0,r,-2,821,0,0,0,0,0,0,-,mhp024,hypothetical protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,25987,0,26808,r,-2,821,0,0,0,0,0,0,-,MHL_2644,hypothetical protein
GY,0,26966,0,28726,r,-2,1760,0,0,0,0,0,0,-,MHL_2918,ABC transporter ATP-binding protein
Frag,26716,18441,26972,18697,f,-2,257,77.43,228.00,88.72,77.43,796,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,24838,0,27165,0,r,-2,2327,0,0,0,0,0,0,-,mhp023,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,25987,0,26808,r,-2,821,0,0,0,0,0,0,-,MHL_2644,hypothetical protein
GY,0,26966,0,28726,r,-2,1760,0,0,0,0,0,0,-,MHL_2918,ABC transporter ATP-binding protein
Frag,28034,384757,28167,384890,f,-2,134,65.67,111.00,82.84,65.67,352,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,26966,0,28726,r,-2,1760,0,0,0,0,0,0,-,MHL_2918,ABC transporter ATP-binding protein
Frag,28050,26887,28151,26988,f,-2,102,86.27,95.00,93.14,86.27,352,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,26966,0,28726,r,-2,1760,0,0,0,0,0,0,-,MHL_2918,ABC transporter ATP-binding protein
Frag,28146,26984,44242,43080,f,-2,16097,69.70,13658.00,84.85,69.70,44876,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GX,30536,0,32863,0,r,-2,2327,0,0,0,0,0,0,-,mhp026,ABC transporter ATP-binding protein
GX,32850,0,33653,0,r,-2,803,0,0,0,0,0,0,-,mhp027,hypothetical protein
GX,34028,0,34510,0,f,-2,482,0,0,0,0,0,0,-,mhp028,signal peptidase I
GX,34903,0,36222,0,f,-2,1319,0,0,0,0,0,0,gatA,mhp029,amidase
GX,36215,0,37615,0,f,-2,1400,0,0,0,0,0,0,gatB,mhp030,aspartyl/glutamyl-tRNA amidotransferase subunit B
GX,37851,0,38354,0,f,-2,503,0,0,0,0,0,0,-,mhp031,hypothetical protein
GX,38471,0,39070,0,r,-2,599,0,0,0,0,0,0,lspA,mhp032,lipoprotein signal peptidase
GX,39042,0,41702,0,r,-2,2660,0,0,0,0,0,0,ileS,mhp033,isoleucyl-tRNA synthetase
GX,41702,0,44242,0,r,-2,2540,0,0,0,0,0,0,parC,mhp034,DNA topoisomerase IV subunit A
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,26966,0,28726,r,-2,1760,0,0,0,0,0,0,-,MHL_2918,ABC transporter ATP-binding protein
GY,0,29374,0,31194,r,-2,1820,0,0,0,0,0,0,-,MHL_2916,ABC transporter ATP-binding protein
GY,0,31688,0,32491,r,-2,803,0,0,0,0,0,0,-,MHL_2912,hypothetical protein
GY,0,32865,0,33347,f,-2,482,0,0,0,0,0,0,-,MHL_0115,signal peptidase I
GY,0,33740,0,35059,f,-2,1319,0,0,0,0,0,0,gatA,MHL_3244,glutamyl-tRNA amidotransferase subunit A
GY,0,35052,0,36452,f,-2,1400,0,0,0,0,0,0,gatB,MHL_3243,glutamyl-tRNA amidotransferase subunit B
GY,0,36689,0,37192,f,-2,503,0,0,0,0,0,0,-,MHL_2816,hypothetical protein
GY,0,37309,0,37908,r,-2,599,0,0,0,0,0,0,-,MHL_2911,lipoprotein signal peptidase
GY,0,37880,0,40540,r,-2,2660,0,0,0,0,0,0,ileS,MHL_3239,isoleucyl-tRNA synthetase
GY,0,40540,0,43080,r,-2,2540,0,0,0,0,0,0,parC,MHL_3236,topoisomerase IV subunit A
GY,0,43073,0,45001,r,-2,1928,0,0,0,0,0,0,parE,MHL_3417,topoisomerase IV subunit B
Frag,29780,31056,30430,31706,f,-2,651,76.65,575.00,88.33,76.65,1996,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,28143,0,30425,0,r,-2,2282,0,0,0,0,0,0,-,mhp025,ABC transporter ATP-binding protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,29374,0,31194,r,-2,1820,0,0,0,0,0,0,-,MHL_2916,ABC transporter ATP-binding protein
Frag,32218,28618,32868,29268,f,-2,651,77.57,578.00,88.79,77.57,2020,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,30536,0,32863,0,r,-2,2327,0,0,0,0,0,0,-,mhp026,ABC transporter ATP-binding protein
GX,32850,0,33653,0,r,-2,803,0,0,0,0,0,0,-,mhp027,hypothetical protein
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,31688,0,32491,r,-2,803,0,0,0,0,0,0,-,MHL_2912,hypothetical protein
Frag,33768,32605,37823,36660,f,-2,4056,98.42,4024.00,99.21,98.42,15968,-,-
GX,1,0,892758,0,f,-2,892757,0,0,0,0,0,0,-,-,-
GX,34028,0,34510,0,f,-2,482,0,0,0,0,0,0,-,mhp028,signal peptidase I
GX,34903,0,36222,0,f,-2,1319,0,0,0,0,0,0,gatA,mhp029,amidase
GX,36215,0,37615,0,f,-2,1400,0,0,0,0,0,0,gatB,mhp030,aspartyl/glutamyl-tRNA amidotransferase subunit B
GY,0,1,0,898495,f,-2,898494,0,0,0,0,0,0,-,-,-
GY,0,33740,0,35059,f,-2,1319,0,0,0,0,0,0,gatA,MHL_3244,glutamyl-tRNA amidotransferase subunit A
GY,0,35052,0,36452,f,-2,1400,0,0,0,0,0,0,gatB,MHL_3243,glutamyl-tRNA amidotransferase subunit B
GY,0,36689,0,37192,f,-2,503,0,0,0,0,0,0,-,MHL_2816,hypothetical protein
GY,0,37309,0,37908,r,-2,599,0,0,0,0,0,0,-,MHL_2911,lipoprotein signal peptidase
Frag,44243,43084,46315,45156,f,1,2073,97.68,2049.00,98.84,97.68,8100,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,44235,0,46160,0,r,1,1925,0,0,0,0,0,0,parE,mhp035,topoisomerase IV subunit B
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,43073,0,45001,r,1,1928,0,0,0,0,0,0,parE,MHL_3417,topoisomerase IV subunit B
GY,0,45212,0,46222,f,1,1010,0,0,0,0,0,0,-,MHL_3233,glyceraldehyde 3-phosphate dehydrogenase
Frag,46190,45032,47773,46615,f,1,1584,91.54,1517.00,95.77,91.54,5800,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,46370,0,47380,0,f,1,1010,0,0,0,0,0,0,gap,mhp036,glyceraldehyde 3-phosphate dehydrogenase
GX,47479,0,49491,0,f,1,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,45212,0,46222,f,1,1010,0,0,0,0,0,0,-,MHL_3233,glyceraldehyde 3-phosphate dehydrogenase
GY,0,46321,0,48222,f,1,1901,0,0,0,0,0,0,-,MHL_3416,hypothetical protein
Frag,47896,46627,49573,48304,f,1,1678,95.59,1641.00,97.79,95.59,6416,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,47479,0,49491,0,f,1,2012,0,0,0,0,0,0,-,mhp037,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,46321,0,48222,f,1,1901,0,0,0,0,0,0,-,MHL_3416,hypothetical protein
GY,0,48322,0,50406,r,1,2084,0,0,0,0,0,0,vacB,MHL_3230,VACB-like ribonuclease II
Frag,49523,48253,62737,61467,f,1,13215,98.17,13094.00,99.08,98.17,51892,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,49592,0,51676,0,r,1,2084,0,0,0,0,0,0,-,mhp038,VACB-like ribonuclease II
GX,51682,0,51915,0,r,1,233,0,0,0,0,0,0,-,mhp039,hypothetical protein
GX,51969,0,53495,0,r,1,1526,0,0,0,0,0,0,cls,mhp040,cardiolipin synthetase
GX,53512,0,54525,0,r,1,1013,0,0,0,0,0,0,recA,mhp041,recombinase A
GX,54678,0,55487,0,f,1,809,0,0,0,0,0,0,licA,mhp042,PTS system lichenan-specific transporter subunit IIA
GX,55489,0,56748,0,f,1,1259,0,0,0,0,0,0,obgE,mhp043,GTPase ObgE
GX,56833,0,57204,0,f,1,371,0,0,0,0,0,0,-,mhp044,hypothetical protein
GX,57208,0,58416,0,f,1,1208,0,0,0,0,0,0,-,mhp045,hypothetical protein
GX,58511,0,58843,0,f,1,332,0,0,0,0,0,0,-,mhp046,hypothetical protein
GX,58888,0,60045,0,f,1,1157,0,0,0,0,0,0,-,mhp047,DNA polymerase IV
GX,60050,0,60481,0,f,1,431,0,0,0,0,0,0,-,mhp048,hypothetical protein
GX,60481,0,61209,0,f,1,728,0,0,0,0,0,0,atpB,mhp049,F0F1 ATP synthase subunit A
GX,61237,0,61542,0,f,1,305,0,0,0,0,0,0,atpE,mhp050,F0F1 ATP synthase subunit C
GX,61596,0,62162,0,f,1,566,0,0,0,0,0,0,atpF,mhp051,ATP synthase subunit B
GX,62162,0,62725,0,f,1,563,0,0,0,0,0,0,atpH,mhp052,F0F1 ATP synthase subunit delta
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,48322,0,50406,r,1,2084,0,0,0,0,0,0,vacB,MHL_3230,VACB-like ribonuclease II
GY,0,50412,0,50645,r,1,233,0,0,0,0,0,0,-,MHL_2909,hypothetical protein
GY,0,50699,0,52225,r,1,1526,0,0,0,0,0,0,-,MHL_3224,cardiolipin synthetase
GY,0,52242,0,53255,r,1,1013,0,0,0,0,0,0,recA,MHL_0193,recombination protein RecA
GY,0,53408,0,54217,f,1,809,0,0,0,0,0,0,licA,MHL_3223,PTS system, lichenan-specific IIA component
GY,0,54219,0,55478,f,1,1259,0,0,0,0,0,0,-,MHL_3221,GTP-binding protein Obg
GY,0,55563,0,55934,f,1,371,0,0,0,0,0,0,-,MHL_2807,hypothetical protein
GY,0,55938,0,57146,f,1,1208,0,0,0,0,0,0,-,MHL_0202,hypothetical protein
GY,0,57241,0,57573,f,1,332,0,0,0,0,0,0,-,MHL_2804,hypothetical protein
GY,0,57618,0,58775,f,1,1157,0,0,0,0,0,0,dinP,MHL_0203,DNA polymerase IV
GY,0,58780,0,59211,f,1,431,0,0,0,0,0,0,-,MHL_0204,hypothetical protein
GY,0,59211,0,59939,f,1,728,0,0,0,0,0,0,atpB,MHL_2801,ATP synthase A chain
GY,0,59967,0,60272,f,1,305,0,0,0,0,0,0,atpE,MHL_0205,F0F1 ATP synthase subunit C
GY,0,60326,0,60892,f,1,566,0,0,0,0,0,0,atpF,MHL_0206,ATP synthase subunit B
GY,0,60892,0,61455,f,1,563,0,0,0,0,0,0,atpH,MHL_0213,ATP synthase delta chain
GY,0,61445,0,62995,f,1,1550,0,0,0,0,0,0,-,MHL_3411,ATP synthase alpha chain
Frag,62724,61453,66896,65625,f,1,4173,97.60,4123.00,98.80,97.60,16292,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,62743,0,64266,0,f,1,1523,0,0,0,0,0,0,atpA,mhp053,F0F1 ATP synthase subunit alpha
GX,64295,0,65125,0,f,1,830,0,0,0,0,0,0,atpG,mhp054,ATP synthase subunit gamma
GX,65143,0,66558,0,f,1,1415,0,0,0,0,0,0,atpD,mhp055,F0F1 ATP synthase subunit beta
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,61445,0,62995,f,1,1550,0,0,0,0,0,0,-,MHL_3411,ATP synthase alpha chain
GY,0,63024,0,63854,f,1,830,0,0,0,0,0,0,atpG,MHL_0218,ATP synthase gamma chain
GY,0,63872,0,65287,f,1,1415,0,0,0,0,0,0,atpD,MHL_0224,ATP synthase beta chain
GY,0,65340,0,65534,f,1,194,0,0,0,0,0,0,-,MHL_0226,hypothetical protein
GY,0,65633,0,66127,f,1,494,0,0,0,0,0,0,recU,MHL_3201,Holliday junction-specific endonuclease
GY,0,66343,0,67299,f,1,956,0,0,0,0,0,0,rpsB,MHL_3198,30S ribosomal protein S2
Frag,66812,65540,70969,69697,f,1,4158,96.68,4089.00,98.34,96.68,16080,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,66905,0,67399,0,f,1,494,0,0,0,0,0,0,recU,mhp057,Holliday junction-specific endonuclease
GX,67615,0,68571,0,f,1,956,0,0,0,0,0,0,rpsB,mhp058,30S ribosomal protein S2
GX,68596,0,69507,0,f,1,911,0,0,0,0,0,0,tsf,mhp059,elongation factor Ts
GX,69592,0,70914,0,f,1,1322,0,0,0,0,0,0,ffh,mhp060,signal recognition particle protein
GX,70941,0,72308,0,f,1,1367,0,0,0,0,0,0,glyS,mhp061,glycyl-tRNA synthetase
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
GY,0,66343,0,67299,f,1,956,0,0,0,0,0,0,rpsB,MHL_3198,30S ribosomal protein S2
GY,0,67324,0,68235,f,1,911,0,0,0,0,0,0,-,MHL_3196,elongation factor EF-T
GY,0,68320,0,69642,f,1,1322,0,0,0,0,0,0,-,MHL_0242,signal recognition particle protein
GY,0,69670,0,71037,f,1,1367,0,0,0,0,0,0,glyS,MHL_3192,glycyl-tRNA synthetase
Frag,73676,72402,83901,82627,f,1,10226,94.17,9928.00,97.09,94.17,38520,-,-
GX,1,0,892758,0,f,1,892757,0,0,0,0,0,0,-,-,-
GX,72301,0,74145,0,f,1,1844,0,0,0,0,0,0,dnaG,mhp062,DNA primase
GX,74727,0,76196,0,f,1,1469,0,0,0,0,0,0,rpoD,mhp063,RNA polymerase sigma factor
GX,76203,0,76976,0,f,1,773,0,0,0,0,0,0,-,mhp064,hypothetical protein
GX,76970,0,77800,0,f,1,830,0,0,0,0,0,0,nfo,mhp065,endonuclease IV
GX,77817,0,79061,0,f,1,1244,0,0,0,0,0,0,tyrS,mhp066,tyrosyl tRNA synthetase
GX,79134,0,83834,0,f,1,4700,0,0,0,0,0,0,-,mhp067,hypothetical protein
GX,83882,0,84061,0,f,1,179,0,0,0,0,0,0,-,mhp068,hypothetical protein
GY,0,1,0,898495,f,1,898494,0,0,0,0,0,0,-,-,-
